index,minute,player,x,y,xG,outcome
0,46,Alejandro Garnacho,0.9459999847412108,0.629000015258789,0.2616230547428131,Goal
1,53,Alejandro Garnacho,0.9519999694824218,0.669000015258789,0.0363263711333274,MissedShots
2,23,Alejandro Garnacho,0.845999984741211,0.3840000152587891,0.0480085611343383,SavedShot
3,64,Alejandro Garnacho,0.8780000305175781,0.434000015258789,0.3533900082111358,SavedShot
4,77,Alejandro Garnacho,0.8719999694824219,0.6809999847412109,0.0557335503399372,BlockedShot
5,88,Alejandro Garnacho,0.8880000305175781,0.705,0.051527701318264,MissedShots
6,76,Alejandro Garnacho,0.875999984741211,0.6569999694824219,0.0789644941687583,MissedShots
7,81,Alejandro Garnacho,0.8059999847412109,0.69,0.0396152101457119,Goal
8,17,Alejandro Garnacho,0.855999984741211,0.7180000305175781,0.0461475290358066,MissedShots
9,45,Alejandro Garnacho,0.948000030517578,0.625999984741211,0.3160269558429718,SavedShot
10,79,Alejandro Garnacho,0.8969999694824219,0.6659999847412109,0.0969960987567901,BlockedShot
11,17,Alejandro Garnacho,0.8930000305175781,0.5509999847412109,0.4101574122905731,SavedShot
12,37,Alejandro Garnacho,0.8590000152587891,0.7290000152587891,0.0575340464711189,SavedShot
13,64,Alejandro Garnacho,0.8209999847412109,0.5420000076293945,0.2907522916793823,SavedShot
14,81,Alejandro Garnacho,0.874000015258789,0.5109999847412109,0.0413298644125461,MissedShots
15,90,Alejandro Garnacho,0.931999969482422,0.7080000305175781,0.0464542135596275,BlockedShot
16,18,Alejandro Garnacho,0.785,0.72,0.0173324793577194,BlockedShot
17,19,Alejandro Garnacho,0.875999984741211,0.5570000076293945,0.3707259893417358,MissedShots
18,7,Alejandro Garnacho,0.921999969482422,0.6719999694824219,0.1459692120552063,MissedShots
19,1,Alejandro Garnacho,0.8580000305175781,0.4870000076293945,0.3467780947685241,ShotOnPost
20,83,Alejandro Garnacho,0.7859999847412109,0.5479999923706055,0.0294937994331121,SavedShot
21,50,Alejandro Garnacho,0.7269999694824218,0.5479999923706055,0.0136571591719985,SavedShot
22,93,Alejandro Garnacho,0.875999984741211,0.4520000076293945,0.3805783987045288,MissedShots
23,68,Alejandro Garnacho,0.79,0.4109999847412109,0.0232246369123458,MissedShots
