minute,player,x,y,xG,outcome
39,Marcus Rashford,0.9459999847412108,0.354000015258789,0.1286062002182006,SavedShot
40,Marcus Rashford,0.8169999694824219,0.71,0.021223621442914,Goal
50,Marcus Rashford,0.865,0.6220000076293946,0.094303660094738,BlockedShot
59,Marcus Rashford,0.7619999694824219,0.73,0.0157902296632528,SavedShot
4,Marcus Rashford,0.8780000305175781,0.634000015258789,0.1759555786848068,SavedShot
48,Marcus Rashford,0.8019999694824219,0.65,0.0324982851743698,SavedShot
83,Marcus Rashford,0.904000015258789,0.2939999961853027,0.0636266618967056,BlockedShot
88,Marcus Rashford,0.9519999694824218,0.3220000076293945,0.0709135383367538,BlockedShot
46,Marcus Rashford,0.924000015258789,0.369000015258789,0.2514970600605011,ShotOnPost
58,Marcus Rashford,0.8019999694824219,0.7069999694824218,0.0212174598127603,SavedShot
1,Marcus Rashford,0.936999969482422,0.4679999923706054,0.4450210332870483,Goal
33,Marcus Rashford,0.8619999694824219,0.425,0.0421160906553268,Goal
45,Marcus Rashford,0.92,0.3679999923706055,0.3252668380737304,Goal
53,Marcus Rashford,0.899000015258789,0.2860000038146972,0.1018702760338783,BlockedShot
84,Marcus Rashford,0.8109999847412109,0.4970000076293945,0.1062133535742759,MissedShots
94,Marcus Rashford,0.8190000152587891,0.5720000076293945,0.0434876419603824,BlockedShot
48,Marcus Rashford,0.8440000152587891,0.735999984741211,0.0284081175923347,SavedShot
68,Marcus Rashford,0.745,0.595999984741211,0.0553515665233135,ShotOnPost
82,Marcus Rashford,0.81,0.6969999694824218,0.0356662571430206,BlockedShot
83,Marcus Rashford,0.905,0.6569999694824219,0.0585955940186977,MissedShots
49,Marcus Rashford,0.914000015258789,0.8869999694824219,0.0831417888402938,BlockedShot
74,Marcus Rashford,0.8430000305175781,0.7130000305175781,0.0309762954711914,BlockedShot
92,Marcus Rashford,0.860999984741211,0.6669999694824219,0.0834133028984069,BlockedShot
11,Marcus Rashford,0.8930000305175781,0.6220000076293946,0.0705159157514572,MissedShots
50,Marcus Rashford,0.8019999694824219,0.4620000076293945,0.3964966237545013,Goal
68,Marcus Rashford,0.874000015258789,0.655,0.0877571329474449,MissedShots
91,Marcus Rashford,0.9080000305175782,0.6170000076293946,0.3299290835857391,SavedShot
0,Marcus Rashford,0.8590000152587891,0.2710000038146972,0.0362162590026855,BlockedShot
8,Marcus Rashford,0.916999969482422,0.4009999847412109,0.0389671325683593,SavedShot
32,Marcus Rashford,0.7530000305175781,0.639000015258789,0.0173034872859716,BlockedShot
64,Marcus Rashford,0.7240000152587891,0.664000015258789,0.0385127775371074,MissedShots
0,Marcus Rashford,0.8769999694824219,0.6170000076293946,0.3038172423839569,ShotOnPost
38,Marcus Rashford,0.924000015258789,0.65,0.2900672852993011,SavedShot
62,Marcus Rashford,0.968000030517578,0.2839999961853027,0.3001308441162109,MissedShots
