minute,player,x,y,xG,outcome
68,Alejandro Garnacho,0.79,0.4109999847412109,0.0232246369123458,MissedShots
93,Alejandro Garnacho,0.875999984741211,0.4520000076293945,0.3805783987045288,MissedShots
69,Alejandro Garnacho,0.975999984741211,0.56,0.5201026797294617,BlockedShot
93,Alejandro Garnacho,0.911999969482422,0.7180000305175781,0.0619641095399856,BlockedShot
95,Alejandro Garnacho,0.9159999847412108,0.4529999923706054,0.5501279830932617,Goal
9,Alejandro Garnacho,0.8930000305175781,0.665,0.3149105608463287,SavedShot
26,Alejandro Garnacho,0.9,0.6409999847412109,0.3247155845165252,ShotOnPost
62,Alejandro Garnacho,0.8490000152587891,0.8009999847412109,0.017687214538455,SavedShot
36,Alejandro Garnacho,0.9519999694824218,0.36,0.0529291778802871,ShotOnPost
71,Alejandro Garnacho,0.8540000152587891,0.72,0.0332821644842624,BlockedShot
88,Alejandro Garnacho,0.9340000152587892,0.705,0.0593239702284336,BlockedShot
38,Alejandro Garnacho,0.89,0.7619999694824219,0.0228858683258295,SavedShot
48,Alejandro Garnacho,0.8209999847412109,0.7069999694824218,0.019447673112154,MissedShots
85,Alejandro Garnacho,0.8340000152587891,0.705,0.029438279569149,BlockedShot
19,Alejandro Garnacho,0.7819999694824219,0.6930000305175781,0.024172481149435,BlockedShot
25,Alejandro Garnacho,0.91,0.7119999694824218,0.0505407936871051,SavedShot
36,Alejandro Garnacho,0.926999969482422,0.6809999847412109,0.1061820536851883,MissedShots
40,Alejandro Garnacho,0.8419999694824218,0.6990000152587891,0.0339670218527317,SavedShot
41,Alejandro Garnacho,0.8069999694824219,0.2989999961853027,0.0199823044240474,BlockedShot
46,Alejandro Garnacho,0.9459999847412108,0.629000015258789,0.2616230547428131,Goal
50,Alejandro Garnacho,0.7269999694824218,0.5479999923706055,0.0136571591719985,SavedShot
83,Alejandro Garnacho,0.7859999847412109,0.5479999923706055,0.0294937994331121,SavedShot
1,Alejandro Garnacho,0.8580000305175781,0.4870000076293945,0.3467780947685241,ShotOnPost
7,Alejandro Garnacho,0.921999969482422,0.6719999694824219,0.1459692120552063,MissedShots
53,Alejandro Garnacho,0.9519999694824218,0.669000015258789,0.0363263711333274,MissedShots
23,Alejandro Garnacho,0.845999984741211,0.3840000152587891,0.0480085611343383,SavedShot
64,Alejandro Garnacho,0.8780000305175781,0.434000015258789,0.3533900082111358,SavedShot
77,Alejandro Garnacho,0.8719999694824219,0.6809999847412109,0.0557335503399372,BlockedShot
88,Alejandro Garnacho,0.8880000305175781,0.705,0.051527701318264,MissedShots
76,Alejandro Garnacho,0.875999984741211,0.6569999694824219,0.0789644941687583,MissedShots
81,Alejandro Garnacho,0.8059999847412109,0.69,0.0396152101457119,Goal
17,Alejandro Garnacho,0.855999984741211,0.7180000305175781,0.0461475290358066,MissedShots
45,Alejandro Garnacho,0.948000030517578,0.625999984741211,0.3160269558429718,SavedShot
79,Alejandro Garnacho,0.8969999694824219,0.6659999847412109,0.0969960987567901,BlockedShot
17,Alejandro Garnacho,0.8930000305175781,0.5509999847412109,0.4101574122905731,SavedShot
37,Alejandro Garnacho,0.8590000152587891,0.7290000152587891,0.0575340464711189,SavedShot
64,Alejandro Garnacho,0.8209999847412109,0.5420000076293945,0.2907522916793823,SavedShot
81,Alejandro Garnacho,0.874000015258789,0.5109999847412109,0.0413298644125461,MissedShots
90,Alejandro Garnacho,0.931999969482422,0.7080000305175781,0.0464542135596275,BlockedShot
18,Alejandro Garnacho,0.785,0.72,0.0173324793577194,BlockedShot
19,Alejandro Garnacho,0.875999984741211,0.5570000076293945,0.3707259893417358,MissedShots
24,Alejandro Garnacho,0.8769999694824219,0.56,0.1229597106575965,BlockedShot
24,Alejandro Garnacho,0.87,0.629000015258789,0.198861077427864,BlockedShot
60,Alejandro Garnacho,0.8130000305175781,0.4909999847412109,0.0579996705055236,SavedShot
77,Alejandro Garnacho,0.8859999847412109,0.7280000305175781,0.0364239178597927,SavedShot
95,Alejandro Garnacho,0.955,0.325,0.0933405309915542,SavedShot
88,Alejandro Garnacho,0.9469999694824218,0.2979999923706055,0.0601534210145473,MissedShots
90,Alejandro Garnacho,0.8809999847412109,0.6659999847412109,0.0544985011219978,BlockedShot
4,Alejandro Garnacho,0.935,0.4409999847412109,0.5230885148048401,BlockedShot
14,Alejandro Garnacho,0.81,0.6940000152587891,0.0190675444900989,MissedShots
94,Alejandro Garnacho,0.7730000305175782,0.57,0.0121378013864159,BlockedShot
9,Alejandro Garnacho,0.8480000305175781,0.7319999694824219,0.0297347586601972,SavedShot
22,Alejandro Garnacho,0.904000015258789,0.615,0.3035920262336731,MissedShots
54,Alejandro Garnacho,0.8909999847412109,0.3570000076293945,0.1067005097866058,SavedShot
57,Alejandro Garnacho,0.8690000152587891,0.6419999694824219,0.0513253062963485,SavedShot
88,Alejandro Garnacho,0.8719999694824219,0.4220000076293945,0.0958867520093917,BlockedShot
38,Alejandro Garnacho,0.815,0.5070000076293946,0.0711902603507042,BlockedShot
14,Alejandro Garnacho,0.916999969482422,0.2660000038146972,0.0641616210341453,MissedShots
89,Alejandro Garnacho,0.7919999694824219,0.5309999847412109,0.0434856675565242,MissedShots
18,Alejandro Garnacho,0.7859999847412109,0.3060000038146973,0.0163549222052097,SavedShot
61,Alejandro Garnacho,0.855,0.3209999847412109,0.027513800188899,SavedShot
66,Alejandro Garnacho,0.88,0.3620000076293945,0.0854385420680046,Goal
57,Alejandro Garnacho,0.8190000152587891,0.715,0.0116357430815696,MissedShots
68,Alejandro Garnacho,0.8490000152587891,0.624000015258789,0.0993304252624511,BlockedShot
68,Alejandro Garnacho,0.85,0.6320000076293946,0.0354536734521389,MissedShots
72,Alejandro Garnacho,0.8059999847412109,0.75,0.0120332203805446,MissedShots
74,Alejandro Garnacho,0.8930000305175781,0.6930000305175781,0.0392205640673637,BlockedShot
92,Alejandro Garnacho,0.8209999847412109,0.644000015258789,0.0419423691928386,BlockedShot
53,Alejandro Garnacho,0.8440000152587891,0.7519999694824219,0.0230938363820314,BlockedShot
78,Alejandro Garnacho,0.8080000305175781,0.6969999694824218,0.1422318369150161,BlockedShot
36,Alejandro Garnacho,0.8859999847412109,0.379000015258789,0.1185446679592132,Goal
44,Alejandro Garnacho,0.855,0.7380000305175781,0.0267805755138397,SavedShot
96,Alejandro Garnacho,0.8340000152587891,0.6170000076293946,0.0491649769246578,BlockedShot
15,Alejandro Garnacho,0.8519999694824218,0.3029999923706055,0.0407744832336902,MissedShots
35,Alejandro Garnacho,0.8590000152587891,0.6220000076293946,0.0559289492666721,BlockedShot
37,Alejandro Garnacho,0.8530000305175781,0.5,0.2431735843420028,SavedShot
45,Alejandro Garnacho,0.745999984741211,0.4,0.0200835168361663,MissedShots
82,Alejandro Garnacho,0.860999984741211,0.4490000152587891,0.0661202892661094,BlockedShot
82,Alejandro Garnacho,0.850999984741211,0.395,0.0662639588117599,BlockedShot
91,Alejandro Garnacho,0.7669999694824219,0.6509999847412109,0.0191299226135015,BlockedShot
92,Alejandro Garnacho,0.8869999694824219,0.575,0.0841378420591354,BlockedShot
66,Alejandro Garnacho,0.8519999694824218,0.4579999923706054,0.0810253843665123,BlockedShot
81,Alejandro Garnacho,0.78,0.6120000076293945,0.0300054270774126,Goal
61,Alejandro Garnacho,0.973000030517578,0.600999984741211,0.2598091959953308,MissedShots
