minute,player,x,y,xG,outcome
28,Bryan Mbeumo,0.9,0.344000015258789,0.0740582570433616,Goal
50,Bryan Mbeumo,0.85,0.28,0.0345180444419384,BlockedShot
39,Bryan Mbeumo,0.7819999694824219,0.3329999923706054,0.025269316509366,MissedShots
42,Bryan Mbeumo,0.9009999847412108,0.4229999923706055,0.3575889468193054,Goal
63,Bryan Mbeumo,0.775,0.4059999847412109,0.0362554118037223,SavedShot
64,Bryan Mbeumo,0.8830000305175781,0.4479999923706054,0.3920167982578277,Goal
3,Bryan Mbeumo,0.895,0.45,0.1212284117937088,BlockedShot
0,Bryan Mbeumo,0.9,0.494000015258789,0.1068992912769317,Goal
40,Bryan Mbeumo,0.9340000152587892,0.404000015258789,0.4372641742229461,SavedShot
61,Bryan Mbeumo,0.8959999847412109,0.639000015258789,0.2274121791124344,SavedShot
0,Bryan Mbeumo,0.8669999694824219,0.4859999847412109,0.0799521431326866,Goal
33,Bryan Mbeumo,0.889000015258789,0.55,0.0785854160785675,MissedShots
37,Bryan Mbeumo,0.764000015258789,0.3309999847412109,0.0547586716711521,BlockedShot
83,Bryan Mbeumo,0.8580000305175781,0.4329999923706055,0.0157519541680812,BlockedShot
85,Bryan Mbeumo,0.8,0.3110000038146973,0.0708854123950004,MissedShots
6,Bryan Mbeumo,0.8469999694824218,0.3010000038146972,0.0334881208837032,MissedShots
6,Bryan Mbeumo,0.8680000305175781,0.46,0.109839990735054,BlockedShot
84,Bryan Mbeumo,0.73,0.3479999923706054,0.0185696687549352,SavedShot
95,Bryan Mbeumo,0.755,0.2329999923706054,0.0162114445120096,Goal
66,Bryan Mbeumo,0.8719999694824219,0.4059999847412109,0.0639220252633094,MissedShots
7,Bryan Mbeumo,0.8590000152587891,0.4359999847412109,0.0943097397685051,Goal
65,Bryan Mbeumo,0.8019999694824219,0.3179999923706054,0.03607614710927,MissedShots
92,Bryan Mbeumo,0.8419999694824218,0.8580000305175781,0.230991929769516,BlockedShot
84,Bryan Mbeumo,0.9519999694824218,0.425,0.3993184864521026,SavedShot
89,Bryan Mbeumo,0.7969999694824219,0.3709999847412109,0.1854963600635528,Goal
