goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,2,0.44204211235046387,90,AMR,Wolverhampton Wanderers,Brentford,1,1,2025-05-25,26978,2024,730086,0.10468907654285431,0,2,1,0.44204211235046387,0.5650979280471802,0.12305579334497452
1,3,0.9076035022735596,90,AMR,Brentford,Fulham,2,3,2025-05-18,26964,2024,728502,0.06860645115375519,0,1,1,0.14643466472625732,0.5469376444816589,0.3318965435028076
0,4,0.18156208097934723,90,AMR,Ipswich,Brentford,0,1,2025-05-10,26954,2024,725763,0.32451900839805603,1,1,0,0.18156208097934723,0.18156208097934723,0
0,2,0.10683729499578476,90,AMR,Brentford,Manchester United,4,3,2025-05-04,26947,2024,724636,0.06263235211372375,0,1,0,0.10683729499578476,1.2300819158554077,1.1232446432113647
0,3,0.1984408050775528,90,AMR,Nottingham Forest,Brentford,0,2,2025-05-01,26939,2024,723600,0.1152239739894867,0,2,0,0.1984408050775528,0.2447809875011444,0
2,4,0.47489818930625916,90,AMR,Brentford,Brighton,4,2,2025-04-19,26923,2024,720460,1.0608595609664917,1,7,2,0.47489818930625916,0.6937788724899292,0.01561658550053835
0,0,0,90,MR,Arsenal,Brentford,1,1,2025-04-12,26913,2024,718799,0.0598486103117466,0,1,0,0,0.0598486103117466,0
0,2,0.18488211929798126,90,AMR,Brentford,Chelsea,0,0,2025-04-06,26903,2024,717455,0.4043346643447876,0,2,0,0.18488211929798126,0.5304263830184937,0
1,3,0.8352001905441284,90,AMR,Newcastle United,Brentford,2,1,2025-04-02,26899,2024,716164,0.05801301822066307,0,1,0,0.07403136789798737,0.13204438984394073,0
0,3,0.11981547623872757,90,AMR,Bournemouth,Brentford,1,2,2025-03-15,26882,2024,713309,0.3543241322040558,1,2,0,0.11981547623872757,0.09516504406929016,0.01866273768246174
0,1,0.053791191428899765,90,AMR,Brentford,Aston Villa,0,1,2025-03-08,26872,2024,711548,0,0,0,0,0.053791191428899765,0.08356477320194244,0.08356477320194244
